version,min_g_loss,min_d_loss,avg_g_loss,avg_d_loss
v1,0.6400690078735352,0.4833691120147705,0.9224049806594848,0.5778969424962997
v2,0.6953203082084656,0.5018830895423889,0.815220023393631,0.6261443775892258
v3,0.6887608766555786,0.5220585465431213,0.8177345317602157,0.6267183405160904
v4,1.1076525449752808,0.08289424329996109,2.6058972001075746,0.16450799986720085
v5,0.6689836978912354,0.5075713992118835,0.7471530519723892,0.6656466776132584
v6,0.6583825945854187,0.16028591990470886,1.54983228123188,0.479631732493639
v7,0.6883612871170044,0.33574873208999634,0.8326164187192917,0.5933803252577782
v8,0.6726459860801697,0.4846428632736206,0.7506420993804932,0.6461796712875366
v9,0.7091119289398193,0.5401099920272827,0.7491084748506546,0.650656880736351
v10,0.6881325244903564,0.5313567519187927,0.7229499695301056,0.6708073553442955
v11,0.6072835326194763,0.3329997658729553,1.030492200255394,0.5853404883742332
v12,0.6006107926368713,0.2674826979637146,1.0410375467936197,0.5617293761173884
v13,0.6813609600067139,0.40224790573120117,1.0893572838902474,0.5575092098116875
v14,0.5893398523330688,0.3670666217803955,1.1341895686388015,0.5431664803624153
v15,0.5841576457023621,0.45747894048690796,0.8280082112550735,0.6278531217575073
v16,0.6287015080451965,0.6695094108581543,0.6966594934463501,0.693432762503624
v17,0.5731028318405151,0.6255745887756348,0.7031060651540756,0.6935250986814498
v18,0.5996866226196289,0.5628116130828857,0.7400409719944,0.6802226847410202
v19,0.5895252227783203,0.608444094657898,0.7215035744905471,0.686520339012146
v20,0.5979984402656555,0.5439338088035583,0.7543162474632263,0.6754187381267548
v22,2.229844331741333,-1.277388095855713,5.575910538554192,-0.1679841218404472
